                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                 1.5317,                 1.0304,                 1.2043,                0.71159,                0.54191,                0.63293,                0.23193,                 2.2626,                 1.3504,                 1.5432,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.5704,                 1.0233,                 1.2109,                0.66031,                0.60397,                0.65298,                0.23406,                 2.2221,                 1.3516,                 1.5197,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.5281,                 1.0505,                 1.2149,                0.63773,                    0.6,                 0.6118,                0.19859,                 2.3926,                 1.3481,                 1.6059,               0.000416,               0.000416,               0.000416
                     82,                 1.5685,                 1.0462,                 1.2025,                0.70225,                0.58036,                0.64836,                0.21806,                 2.2868,                 1.3363,                   1.55,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.5257,                 1.0133,                 1.1823,                0.68748,                0.58036,                0.64316,                0.23708,                 2.1705,                 1.3335,                 1.4983,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.5537,                  1.028,                 1.2147,                0.66274,                0.60357,                0.63144,                0.22484,                  2.217,                 1.3315,                 1.5182,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.5417,                 1.0317,                 1.2107,                0.64162,                0.59145,                0.60135,                0.20095,                 2.3266,                 1.3596,                 1.5857,              0.0003368,              0.0003368,              0.0003368
                     86,                  1.499,                   1.01,                 1.1996,                  0.646,                0.58036,                0.60772,                0.20558,                 2.2923,                 1.3411,                 1.5712,               0.000317,               0.000317,               0.000317
                     87,                 1.4854,                0.99391,                   1.18,                0.66688,                  0.575,                0.62368,                 0.2279,                 2.2098,                 1.3285,                 1.5367,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.5448,                 1.0041,                 1.1865,                0.71344,                0.53929,                0.61887,                0.23067,                 2.2055,                  1.378,                  1.533,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.4946,                0.98929,                 1.1745,                0.72191,                   0.55,                0.60657,                0.22133,                 2.2254,                 1.3876,                 1.5262,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.5041,                 1.0596,                 1.2016,                0.69738,                0.55179,                0.60783,                0.21378,                 2.2614,                 1.3316,                 1.5376,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.4839,                0.98988,                 1.1771,                0.66293,                0.56429,                0.59644,                0.20611,                 2.2958,                 1.3494,                  1.566,               0.000218,               0.000218,               0.000218
                     92,                 1.4534,                0.95825,                 1.1765,                0.63803,                0.58393,                0.60303,                0.21331,                 2.2571,                  1.343,                 1.5532,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.4369,                 0.9408,                   1.17,                0.66435,                0.58929,                0.61272,                0.21218,                 2.2502,                 1.3628,                 1.5649,              0.0001784,              0.0001784,              0.0001784
                     94,                  1.429,                0.95656,                 1.1651,                0.66264,                 0.5875,                0.60614,                0.20396,                 2.2911,                 1.3628,                 1.5913,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.4257,                0.94287,                 1.1754,                0.68393,                  0.575,                0.59792,                0.19689,                 2.3465,                 1.3515,                 1.6269,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.4673,                0.95037,                 1.1718,                0.66692,                0.57923,                0.60239,                0.20277,                 2.3074,                  1.332,                 1.5982,               0.000119,               0.000119,               0.000119
                     97,                 1.4371,                0.93623,                 1.1689,                0.67949,                0.57143,                0.61645,                 0.2147,                 2.2535,                 1.3112,                 1.5637,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.3992,                0.93181,                 1.1638,                0.69166,                0.56964,                0.61553,                0.21567,                 2.2515,                  1.303,                 1.5636,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 1.4023,                0.94641,                 1.1687,                0.68324,                  0.575,                0.61942,                0.21205,                 2.2802,                 1.3121,                 1.5802,               5.96e-05,               5.96e-05,               5.96e-05
